drafter,K,proteins,rows,length_mean,speedup_mean,speedup_median,speedup_std,t_encdec_mean,t_hf_mean
PA,12,97,100,740.02,5.969329249557133,6.33408892967668,1.281827582664364,25.754884130849995,4.712059108879931
PU,12,97,103,736.1067961165048,5.089119937574779,5.482857654993484,1.7783031091873387,25.314576761194154,6.300174478951652
cnn,1,100,105,761.4190476190477,0.9210800399653191,0.9184963225842888,0.0445486855293594,25.702496589333187,28.33049999167622
flexprofile,12,100,104,755.6442307692307,1.7353216060221608,1.7075576367261516,0.5966274869422291,25.767774967019257,18.69220250516346
