drafter,K,proteins,rows,length_mean,speedup_mean,speedup_median,speedup_std,t_encdec_mean,t_hf_mean
PA,1,97,101,733.5643564356436,1.5868917567745344,1.5712350020915555,0.1089063535597682,25.53634401994059,16.368913778455468
PA,4,97,102,732.7058823529412,3.2901094703059997,3.305164140390464,0.40508823879287026,25.509432178666668,8.09578007971564
PA,8,97,100,740.02,4.773438615938369,4.831310344788758,0.8662888157242938,25.754884130849995,5.824358358420201
PA,12,97,100,740.02,5.969329249557133,6.33408892967668,1.281827582664364,25.754884130849995,4.712059108879931
PU,1,97,101,748.6633663366337,1.5202536792147578,1.5424327295318498,0.14828143681432598,25.63137084624752,17.184036479405844
PU,4,97,102,738.5196078431372,2.9963691121018514,3.1648794862938923,0.6363438527520431,25.496447271588224,9.309269793421533
PU,8,97,101,744.2475247524752,4.19216018182619,4.470821662333659,1.2545106811668798,25.68867826117821,7.385156711168281
PU,12,97,103,736.1067961165048,5.089119937574779,5.482857654993484,1.7783031091873387,25.314576761194154,6.300174478951652
cnn,1,100,105,761.4190476190477,0.9210800399653191,0.9184963225842888,0.0445486855293594,25.702496589333187,28.33049999167622
cnn,4,100,106,751.8490566037735,0.8983067093417098,0.8992672417060679,0.05229988218724005,25.468012071499864,29.068027753877413
cnn,8,100,104,760.625,0.8648594616549258,0.8600418126913385,0.07561429280394986,25.73389854342294,30.993962564586493
cnn,12,100,106,753.4528301886793,0.8919020244455872,0.8959910728874441,0.04454438745913001,25.50183943072629,29.18540324761302
flexprofile,1,100,107,752.3457943925233,1.248504624271545,1.284089243178555,0.1912725971074057,25.649710967813125,22.22145571506545
flexprofile,4,100,104,742.9423076923077,1.6069951932050537,1.580283870620094,0.4781489571774641,25.408171983807733,19.248729951394143
flexprofile,8,100,104,749.4134615384615,1.6570084381584214,1.6143856739379516,0.5921385013722517,25.646697576423115,19.98663093110582
flexprofile,12,100,104,755.6442307692307,1.7353216060221608,1.7075576367261516,0.5966274869422291,25.767774967019257,18.69220250516346
