n_homologs_requested,rows,proteins,mean,median,std,q1,q3,metric
8.0,84,84,65.14765055952381,44.756342000000004,62.202035764095854,22.58096775,85.2473905,wall_s
16.0,92,92,37.76958301086957,27.106577,43.37236683197482,10.41888875,42.1729095,wall_s
32.0,83,83,70.52316756626506,46.708381,69.83900232369116,24.7035065,97.5564995,wall_s
64.0,82,82,72.39959756097561,47.651857,71.66383854547306,22.631682750000003,99.73262174999999,wall_s
8.0,84,84,6.430180857142856,6.5184940000000005,0.4240124898407964,6.10914475,6.71549525,peak_vram_gb
16.0,92,92,6.4844497065217395,6.5498005,0.4658801851895309,6.116194,6.7587779999999995,peak_vram_gb
32.0,83,83,6.425744240963855,6.515883,0.4241397771912507,6.1045584999999996,6.7088535,peak_vram_gb
64.0,82,82,6.4223180365853665,6.5062455,0.4255705424745816,6.09982825,6.69861875,peak_vram_gb
8.0,84,84,0.9083436785714286,0.951358,0.12868451492262517,0.89390075,0.9838495,drafter_accuracy
16.0,92,92,0.8978322826086957,0.948285,0.14858814008655202,0.890712,0.97963175,drafter_accuracy
32.0,83,83,0.8890033493975904,0.942857,0.1534598748030623,0.874592,0.975197,drafter_accuracy
64.0,82,82,0.8910113780487805,0.9406414999999999,0.14347366142254517,0.86622175,0.97457575,drafter_accuracy
8.0,84,84,0.7910864761904761,0.8499505,0.2185724446730944,0.69632575,0.9510855,acceptance_rate
16.0,92,92,0.7768612608695653,0.8618895,0.23264069544581753,0.691791,0.9416865,acceptance_rate
32.0,83,83,0.757451156626506,0.835947,0.23722888203473627,0.6563405,0.938384,acceptance_rate
64.0,82,82,0.753302243902439,0.8331500000000001,0.22879563467926012,0.6310985,0.9183574999999999,acceptance_rate
8.0,84,84,0.7142857142857143,1.0,0.4544672127935115,0.0,1.0,exact_match_numeric
16.0,92,92,0.7065217391304348,1.0,0.45785077175051975,0.0,1.0,exact_match_numeric
32.0,83,83,0.7590361445783133,1.0,0.4302682500142444,1.0,1.0,exact_match_numeric
64.0,82,82,0.7560975609756098,1.0,0.43207725674518765,1.0,1.0,exact_match_numeric
