drafter,K,proteins,rows,length_mean,speedup_mean,speedup_median,speedup_std,t_encdec_mean,t_hf_mean
PA,1,64,97,406.319587628866,1.5737396107374195,1.582785476658066,0.12463064956434414,14.079591019247566,8.907500675938227
PA,4,64,97,406.319587628866,3.3417328477563473,3.356253819098217,0.3575737517684006,14.079591019247566,4.2381172388867885
PA,8,64,97,406.319587628866,4.871461000529426,4.946224877632515,0.7524550357682347,14.079591019247566,2.952812247175322
PA,12,64,97,406.319587628866,5.881506096446586,6.031616158613366,1.1407885829202227,14.079591019247566,2.4468941937628332
PU,1,64,98,403.11224489795916,1.555612773053655,1.5714072884145627,0.16360264289018325,14.043228721581558,9.122192598346839
PU,4,64,98,403.11224489795916,3.1578079714275606,3.3325510789732435,0.6441087787131289,14.043228721581558,4.73845569135735
PU,8,64,98,403.11224489795916,4.379820184818635,4.683263477265883,1.21410945903039,14.043228721581558,3.661365380816422
PU,12,64,98,403.11224489795916,5.227071138541682,5.6174318523427695,1.6559918389150854,14.043228721581558,3.1776593490713805
