n_homologs,mode,p,K,n_proteins,mean_drafter_accuracy,mean_mean_k,median_mean_k,mean_acceptance_rate
16,prefix,1,8,118,0.95,7.4326,7.7767,0.8163
16,prefix,1,12,118,0.95,10.0108,10.7196,0.7695
16,prefix,1,16,118,0.95,12.2284,12.9838,0.7237
16,prefix,12,1,118,0.9579,1.9505,1.9735,0.9532
16,prefix,12,2,118,0.9579,2.858,2.9101,0.9341
16,prefix,12,4,118,0.9579,4.5657,4.7301,0.8996
16,prefix,12,8,118,0.9579,7.6561,8.0275,0.8452
16,prefix,12,12,118,0.9579,10.4072,10.8138,0.8046
16,prefix,12,16,118,0.9579,12.9253,13.7215,0.7681
16,prefix,16,1,118,0.9582,1.9512,1.9726,0.9537
16,prefix,16,2,118,0.9582,2.8583,2.9101,0.9345
16,prefix,16,4,118,0.9582,4.5686,4.7301,0.9002
16,prefix,16,8,118,0.9582,7.6618,7.9666,0.8466
16,prefix,16,12,118,0.9582,10.4184,10.7937,0.8063
16,prefix,16,16,118,0.9582,12.9318,13.7093,0.77
16,prefix,2,1,118,0.9543,1.947,1.9714,0.9498
16,prefix,2,2,118,0.9543,2.8472,2.8962,0.9287
16,prefix,2,4,118,0.9543,4.5418,4.6806,0.8934
16,prefix,2,8,118,0.9543,7.562,7.8504,0.833
16,prefix,2,12,118,0.9543,10.2126,10.7071,0.7868
16,prefix,2,16,118,0.9543,12.5271,12.9583,0.7427
16,prefix,4,1,118,0.9561,1.9491,1.968,0.952
16,prefix,4,2,118,0.9561,2.8537,2.9035,0.9318
16,prefix,4,4,118,0.9561,4.5532,4.6991,0.8966
16,prefix,4,8,118,0.9561,7.6048,7.9415,0.8391
16,prefix,4,12,118,0.9561,10.3169,10.8021,0.7966
16,prefix,4,16,118,0.9561,12.7026,13.2078,0.754
16,prefix,8,1,118,0.9574,1.9518,1.9728,0.9545
16,prefix,8,2,118,0.9574,2.8563,2.9094,0.9333
16,prefix,8,4,118,0.9574,4.5666,4.7351,0.8997
16,prefix,8,8,118,0.9574,7.6365,8.0049,0.8428
16,prefix,8,12,118,0.9574,10.3912,10.8013,0.8029
16,prefix,8,16,118,0.9574,12.8144,13.4953,0.7616
16,static,,1,118,0.9192,1.8989,1.9479,0.902
16,static,,2,118,0.9192,2.7305,2.837,0.8697
16,static,,4,118,0.9192,4.2376,4.4733,0.8167
16,static,,8,118,0.9192,6.7923,7.1554,0.7359
